epoch,lr,train_loss,train_seg_iou,train_det_acc,train_det_f1,train_sev_macro_f1,train_sev_mae,train_det_auroc,val_loss,val_seg_iou,val_det_acc,val_det_f1,val_sev_macro_f1,val_sev_mae,val_det_auroc
1,0.0003,3.480173597210332,0.4516609597771445,0.7547997805814591,0.8555735056542811,0.3522899443106319,0.981897970378497,0.8070559315681562,4.996107667281821,0.7020080903091946,0.06825938566552901,0.12779552715654952,0.16666666666666666,1.1092150170648465,0.9875457875457875
2,0.0003,3.1279628268982234,0.5127992844495007,0.7986834887547998,0.8821072920012849,0.40308651540185064,0.9029072956664839,0.8390279033932938,2.4164203018755526,0.46330482683874463,0.6962457337883959,0.31007751937984496,0.41754139769856863,0.20477815699658702,0.9967032967032967
3,0.0003,3.257579678114046,0.5098033697070629,0.8173340647284696,0.8880672268907563,0.45549208055126456,0.8294020844761383,0.8590427160374471,2.631221783322257,0.6638008537324699,0.5972696245733788,0.25316455696202533,0.2691295116772824,0.5733788395904437,0.9807692307692308
4,0.0003,2.914658489849484,0.5359706675046669,0.8475041140976413,0.9053133514986376,0.4932318688996937,0.7564454196379594,0.9011883110778278,1.5169090165479764,0.633816942069176,0.9522184300341296,0.7407407407407407,0.3800865800865801,0.10580204778156997,0.9956043956043956
5,0.0003,3.127126739147985,0.5398211897458239,0.8612177729018102,0.9130285321416294,0.5597578958975619,0.6889742183214481,0.8832573278338272,2.7556185267261557,0.7028664291106366,0.7235494880546075,0.3305785123966942,0.27797520661157027,0.3447098976109215,0.9972527472527473
6,0.0003,3.0211393450174415,0.5473443071200643,0.8760285244103126,0.9219613259668509,0.5549840010842687,0.6664838178826111,0.9002252476067443,2.0898062256542413,0.7093623282538878,0.7952218430034129,0.4,0.24305766697071046,0.24232081911262798,0.9941391941391942
7,0.0003,3.132621409404173,0.5357800499333089,0.8743828853538124,0.9205137105171816,0.5440776300983043,0.693911135490949,0.8928886568881592,1.2195685093064565,0.7262585403750071,0.9215017064846417,0.6229508196721312,0.4685759843002576,0.17064846416382254,0.9769230769230769
8,0.0003,3.2474231424561717,0.5437427093052305,0.8793198025233132,0.922425952045134,0.5840748197662862,0.646187602852441,0.9043961512401812,1.1696591288656801,0.621273556673849,0.9249146757679181,0.6451612903225806,0.5334857723577235,0.10580204778156997,0.9967032967032967
9,0.0003,3.1025166638326227,0.5573765307171127,0.8880965441579813,0.9287709497206704,0.5776461389983644,0.6352166758091059,0.9026235785183725,3.704974949359894,0.6022965835558401,0.757679180887372,0.36036036036036034,0.22085889570552147,0.4129692832764505,0.9871794871794872
10,0.0003,3.237380588655932,0.579461336773085,0.8919363686231486,0.9302160821820759,0.5829846739554504,0.6039495337356007,0.9080320019952024,1.3480986997082427,0.5957695380658716,0.9726962457337884,0.8260869565217391,0.5918561418561419,0.07508532423208192,0.986080586080586
11,0.0003,2.8575061182573176,0.5624430265629679,0.902358749314317,0.9379358437935844,0.5951742477145536,0.6061437191442677,0.9160263492284672,0.8827794842623375,0.7152034793351147,0.9761092150170648,0.8444444444444444,0.8313372607410284,0.06825938566552901,0.9950549450549451
12,0.0003,3.2471080515206907,0.5495318446089521,0.8897421832144816,0.9280343716433942,0.5928409628853447,0.6220515633571037,0.9173628851673132,1.056169200185183,0.6249970380921621,0.9419795221843004,0.7017543859649122,0.9060023796865901,0.06484641638225255,0.9970695970695971
