strategy,region,n_samples,seg_iou,det_f1,sev_macro_f1,sev_mae,det_auroc
baseline,301,4,0.7134864831962293,1.0,0.3333333333333333,0.5,
baseline,303,4,0.724021559017073,0.0,0.2222222222222222,0.75,
baseline,304,4,0.6841527203648212,0.0,1.0,0.0,
baseline,305,4,0.9569643550099113,1.0,0.3333333333333333,0.5,
baseline,306,4,0.976227673939803,1.0,1.0,0.0,
baseline,307,4,0.9514586658919236,1.0,1.0,0.0,
baseline,308,4,0.7897354116116103,1.0,1.0,0.0,
baseline,309,4,0.0,0.0,1.0,0.0,
baseline,310,4,0.2862284090271817,0.0,1.0,0.0,
baseline,311,4,0.3534285449960091,0.0,1.0,0.0,
baseline,313,4,0.9277245546077715,1.0,0.3333333333333333,0.5,
baseline,316,4,0.41751409952952867,0.0,1.0,0.0,
baseline,318,4,0.01675313799440537,0.0,1.0,0.0,
baseline,319,4,0.04231311821659059,0.0,1.0,0.0,
baseline,320,4,0.4466266060562452,0.0,1.0,0.0,
baseline,321,4,0.7545933339983883,1.0,0.42857142857142855,0.25,
baseline,323,4,0.5,0.0,1.0,0.0,
baseline,324,4,0.40646378802225924,0.0,1.0,0.0,
baseline,325,4,0.11203645859461744,0.0,1.0,0.0,
baseline,326,4,0.0,0.0,1.0,0.0,
baseline,327,4,0.010854341736694677,0.0,1.0,0.0,
baseline,328,4,0.43208504429959327,0.0,1.0,0.0,
baseline,329,4,0.2654366004220041,0.0,1.0,0.0,
baseline,330,4,0.75,0.0,1.0,0.0,
baseline,331,4,0.3110732547618017,0.0,1.0,0.0,
baseline,332,4,0.7954790566988914,0.0,1.0,0.0,
baseline,333,4,0.6300428277753449,0.0,1.0,0.0,
baseline,334,4,0.3722934255330636,0.0,1.0,0.0,
baseline,335,4,0.75,0.0,1.0,0.0,
baseline,336,4,0.11664746543778803,0.0,1.0,0.0,
tta_only,301,4,0.7147079538022425,1.0,0.3333333333333333,0.5,
tta_only,303,4,0.7246250439381441,0.0,0.2222222222222222,0.75,
tta_only,304,4,0.6867483021436211,0.0,1.0,0.0,
tta_only,305,4,0.9565457341647948,1.0,0.2,0.75,
tta_only,306,4,0.9760081716582617,1.0,1.0,0.0,
tta_only,307,4,0.9513345004706412,1.0,1.0,0.0,
tta_only,308,4,0.7905548266428791,1.0,1.0,0.0,
tta_only,309,4,0.0,0.0,1.0,0.0,
tta_only,310,4,0.2870201374965259,0.0,1.0,0.0,
tta_only,311,4,0.36442417840465086,0.0,1.0,0.0,
tta_only,313,4,0.9283680200106887,1.0,0.2,0.75,
tta_only,316,4,0.43410593109696827,0.0,1.0,0.0,
tta_only,318,4,0.016999385799548603,0.0,0.42857142857142855,0.25,
tta_only,319,4,0.04315291425687787,0.0,0.42857142857142855,0.25,
tta_only,320,4,0.44800339487151575,0.0,1.0,0.0,
tta_only,321,4,0.7559234380458878,1.0,0.42857142857142855,0.25,
tta_only,323,4,0.5,0.0,1.0,0.0,
tta_only,324,4,0.39851608399760263,0.0,1.0,0.0,
tta_only,325,4,0.11166237795370262,0.0,1.0,0.0,
tta_only,326,4,0.0,0.0,1.0,0.0,
tta_only,327,4,0.010506050605060506,0.0,1.0,0.0,
tta_only,328,4,0.4351520926012433,0.0,1.0,0.0,
tta_only,329,4,0.26634676154285314,0.0,1.0,0.0,
tta_only,330,4,0.75,0.0,1.0,0.0,
tta_only,331,4,0.3103651844906524,0.0,1.0,0.0,
tta_only,332,4,0.7922791921911659,0.0,1.0,0.0,
tta_only,333,4,0.626531958912877,0.0,1.0,0.0,
tta_only,334,4,0.38241433165326105,0.0,1.0,0.0,
tta_only,335,4,0.75,0.0,1.0,0.0,
tta_only,336,4,0.1163793103448276,0.0,1.0,0.0,
bn_only,301,4,0.7475576688511247,1.0,0.3333333333333333,0.5,
bn_only,303,4,0.36287983980174476,0.0,0.0,3.0,
bn_only,304,4,0.10649515052801449,0.0,0.0,3.0,
bn_only,305,4,0.8657132008290491,1.0,0.3333333333333333,0.5,
bn_only,306,4,0.9734391777087334,1.0,1.0,0.0,
bn_only,307,4,0.94548051519143,1.0,1.0,0.0,
bn_only,308,4,0.8157870410735734,1.0,1.0,0.0,
bn_only,309,4,0.0,0.0,0.1,1.5,
bn_only,310,4,0.019146165467030674,0.0,0.0,3.0,
bn_only,311,4,0.01074556745232938,0.0,0.0,2.75,
bn_only,313,4,0.6705373585846792,1.0,0.0,1.0,
bn_only,316,4,0.027266811108218054,0.0,0.13333333333333333,1.25,
bn_only,318,4,0.001931884679925653,0.0,0.0,2.5,
bn_only,319,4,0.006147947656617228,0.0,0.0,2.5,
bn_only,320,4,0.05957518615726873,0.0,0.0,3.0,
bn_only,321,4,0.5014710342067943,1.0,0.0,1.25,
bn_only,323,4,0.0,0.0,0.2222222222222222,1.0,
bn_only,324,4,0.02319561680388462,0.0,0.1,1.5,
bn_only,325,4,0.01719070705742448,0.0,0.0,2.0,
bn_only,326,4,0.0,0.0,0.2,0.75,
bn_only,327,4,7.642314421529461e-05,0.0,0.13333333333333333,1.25,
bn_only,328,4,0.07601655253414705,0.0,0.0,1.75,
bn_only,329,4,0.030171574175186955,0.0,0.13333333333333333,1.25,
bn_only,330,4,0.0,0.0,0.3333333333333333,0.5,
bn_only,331,4,0.03238389087867654,0.0,0.2222222222222222,0.75,
bn_only,332,4,0.1846757190831174,0.0,0.0,2.0,
bn_only,333,4,0.10060904019369067,0.0,0.2222222222222222,0.75,
bn_only,334,4,0.014550491664032066,0.0,0.42857142857142855,0.25,
bn_only,335,4,0.0,0.0,1.0,0.0,
bn_only,336,4,0.00021851888240296237,0.0,1.0,0.0,
bn_plus_tta,301,4,0.747724277726896,1.0,0.3333333333333333,0.5,
bn_plus_tta,303,4,0.3693478481919996,0.0,0.0,3.0,
bn_plus_tta,304,4,0.10714882572226073,0.0,0.0,3.0,
bn_plus_tta,305,4,0.8653943340681267,1.0,0.3333333333333333,0.5,
bn_plus_tta,306,4,0.973427801702033,1.0,1.0,0.0,
bn_plus_tta,307,4,0.945486584644057,1.0,1.0,0.0,
bn_plus_tta,308,4,0.8158564986077946,1.0,1.0,0.0,
bn_plus_tta,309,4,0.0,0.0,0.1,1.5,
bn_plus_tta,310,4,0.020186365645931917,0.0,0.0,3.0,
bn_plus_tta,311,4,0.010770338181101211,0.0,0.0,2.75,
bn_plus_tta,313,4,0.6686098477151209,1.0,0.0,1.0,
bn_plus_tta,316,4,0.02745753063251646,0.0,0.13333333333333333,1.25,
bn_plus_tta,318,4,0.001962730720392121,0.0,0.0,2.5,
bn_plus_tta,319,4,0.006232269659026067,0.0,0.0,2.5,
bn_plus_tta,320,4,0.06041382834269008,0.0,0.0,3.0,
bn_plus_tta,321,4,0.5020465229867973,1.0,0.0,1.25,
bn_plus_tta,323,4,0.0,0.0,0.2222222222222222,1.0,
bn_plus_tta,324,4,0.02428833607358066,0.0,0.1,1.5,
bn_plus_tta,325,4,0.017430587353765997,0.0,0.0,2.0,
bn_plus_tta,326,4,0.0,0.0,0.2,0.75,
bn_plus_tta,327,4,7.809152279528075e-05,0.0,0.13333333333333333,1.25,
bn_plus_tta,328,4,0.07624386781356622,0.0,0.0,1.75,
bn_plus_tta,329,4,0.03122507204541289,0.0,0.3333333333333333,1.0,
bn_plus_tta,330,4,0.0,0.0,0.3333333333333333,0.5,
bn_plus_tta,331,4,0.03347039109793008,0.0,0.2222222222222222,0.75,
bn_plus_tta,332,4,0.18586794584173114,0.0,0.0,2.0,
bn_plus_tta,333,4,0.10166717895148313,0.0,0.2222222222222222,0.75,
bn_plus_tta,334,4,0.01478049220454491,0.0,0.42857142857142855,0.25,
bn_plus_tta,335,4,0.0,0.0,1.0,0.0,
bn_plus_tta,336,4,0.00022430127405565945,0.0,1.0,0.0,
